ibge;name;uf;sphere;cnpj;population;capital
2209971;São João do Arraial;PI;M;01612609000184;8494;0
2210003;São João do Piauí;PI;M;06553655000173;22137;0
2210052;São José do Divino;PI;M;41522111000145;5317;0
2210102;São José do Peixe;PI;M;06554000000110;3300;0
2210201;São José do Piauí;PI;M;06553838000199;6733;0
2210300;São Julião;PI;M;06553846000135;6131;0
2210359;São Lourenço do Piauí;PI;M;41522095000190;4497;0
2210375;São Luis do Piauí;PI;M;01519467000105;2277;0
2210383;São Miguel da Baixa Grande;PI;M;01612623000188;2299;0
2210391;São Miguel do Fidalgo;PI;M;01612611000153;2864;0
2210409;São Miguel do Tapuio;PI;M;06716906000193;17911;0
2210508;São Pedro do Piauí;PI;M;06554810000176;14055;0
2210607;São Raimundo Nonato;PI;M;06772859000103;41139;0
2210623;Sebastião Barros;PI;M;01612805000159;3210;0
2210631;Sebastião Leal;PI;M;01612610000109;4590;0
2210656;Sigefredo Pacheco;PI;M;41522129000147;9623;0
2210706;Simões;PI;M;06553853000137;14664;0
2210805;Simplício Mendes;PI;M;06553952000119;14437;0
2210904;Socorro do Piauí;PI;M;06553671000166;4165;0
2210938;Sussuapara;PI;M;01612755000100;6346;0
2210953;Tamboril do Piauí;PI;M;01616855000104;3040;0
2210979;Tanque do Piauí;PI;M;01612616000186;2319;0
2211001;Teresina;PI;M;06554869000164;905692;1
2211100;União;PI;M;06553606000130;47896;0
2211209;Uruçuí;PI;M;06985832000190;26779;0
2211308;Valença do Piauí;PI;M;06554737000132;23025;0
2211357;Várzea Branca;PI;M;41522103000107;5181;0
2211407;Várzea Grande;PI;M;06554950000144;4520;0
2211506;Vera Mendes;PI;M;01612615000131;3282;0
2211605;Vila Nova do Piauí;PI;M;01612614000197;2972;0
2211704;Wall Ferraz;PI;M;01612612000106;4195;0
2300101;Abaiara;CE;M;07411531000116;10269;0
2300150;Acarape;CE;M;23555170000138;14340;0
2300200;Acaraú;CE;M;07547821000191;69317;0
2300309;Acopiara;CE;M;07847379000119;45937;0
2300408;Aiuaba;CE;M;07568231000145;14115;0
2300507;Alcântaras;CE;M;07598626000190;11795;0
2300606;Altaneira;CE;M;07385503000171;6974;0
2300705;Alto Santo;CE;M;07891666000126;14372;0
2300754;Amontada;CE;M;06582449000191;44584;0
2300804;Antonina do Norte;CE;M;07594500000148;7507;0
2300903;Apuiarés;CE;M;07438468000101;13193;0
2301000;Aquiraz;CE;M;07911696000157;85316;0
2301109;Aracati;CE;M;07684756000146;79205;0
2301208;Aracoiaba;CE;M;07387392000132;26752;0
2301257;Ararendá;CE;M;23718356000160;11532;0
2301307;Araripe;CE;M;07539984000122;20194;0
2301406;Aratuba;CE;M;07387525000170;11427;0
2301505;Arneiroz;CE;M;06748297000154;7615;0
2301604;Assaré;CE;M;07587983000153;22195;0
2301703;Aurora;CE;M;07978042000140;24244;0
2301802;Baixio;CE;M;07520224000173;5821;0
2301851;Banabuiú;CE;M;23444672000191;17667;0
2301901;Barbalha;CE;M;06740278000181;81441;0
2301950;Barreira;CE;M;12459632000105;23474;0
2302008;Barro;CE;M;07620396000119;19569;0
2302057;Barroquinha;CE;M;23478597000180;14998;0
2102077;Bom Lugar;MA;M;01611400000104;12371;0
2102101;Brejo;MA;M;06116743000108;35354;0
2102150;Brejo de Areia;MA;M;01612318000196;9363;0
2102200;Buriti;MA;M;06117071000155;30866;0
2102309;Buriti Bravo;MA;M;06052138000110;22938;0
2102325;Buriticupu;MA;M;01612525000140;56733;0
2102358;Buritirana;MA;M;01601303000122;13125;0
2102374;Cachoeira Grande;MA;M;01612624000122;10032;0
2102408;Cajapió;MA;M;06054266000101;10336;0
2102507;Cajari;MA;M;06469837000160;16680;0
2102556;Campestre do Maranhão;MA;M;01598550000117;12536;0
2102606;Cândido Mendes;MA;M;06059505000108;20440;0
2102705;Cantanhede;MA;M;06156160000100;25059;0
2102754;Capinzal do Norte;MA;M;01613309000110;11681;0
2102804;Carolina;MA;M;12081691000184;24619;0
2102903;Carutapera;MA;M;06903553000130;24906;0
2103000;Caxias;MA;M;06082820000156;163546;0
2103109;Cedral;MA;M;06235006000124;10446;0
2103125;Central do Maranhão;MA;M;01612342000125;7220;0
2103158;Centro do Guilherme;MA;M;01612328000121;12693;0
2103174;Centro Novo do Maranhão;MA;M;01612323000107;16477;0
2103208;Chapadinha;MA;M;06117709000158;84395;0
2103257;Cidelândia;MA;M;01610134000197;13141;0
2103307;Codó;MA;M;06104863000195;118283;0
2103406;Coelho Neto;MA;M;05281738000198;42841;0
2103505;Colinas;MA;M;06113682000125;41788;0
2103554;Conceição do Lago-Açu;MA;M;01612544000177;15278;0
2103604;Coroatá;MA;M;06331110000112;61337;0
2103703;Cururupu;MA;M;05733472000177;32602;0
2103752;Davinópolis;MA;M;01616269000160;14828;0
2103802;Dom Pedro;MA;M;06137293000130;23594;0
2103901;Duque Bacelar;MA;M;06314439000175;10443;0
2104008;Esperantinópolis;MA;M;06376669000169;18734;0
2104057;Estreito;MA;M;07070873000110;34321;0
2104073;Feira Nova do Maranhão;MA;M;01616041000170;8237;0
2104081;Fernando Falcão;MA;M;01612667000108;11219;0
2104099;Formosa da Serra Negra;MA;M;01616684000113;18150;0
2104107;Fortaleza dos Nogueiras;MA;M;06080394000111;12963;0
2104206;Fortuna;MA;M;06140404000167;17347;0
2104305;Godofredo Viana;MA;M;06157051000108;10424;0
2104404;Gonçalves Dias;MA;M;06314827000156;17580;0
1100205;Porto Velho;RO;M;05903125000145;517709;1
1100254;Presidente Médici;RO;M;04632212000142;20443;0
1100262;Rio Crespo;RO;M;63761977000141;3767;0
1100288;Rolim de Moura;RO;M;04394805000118;62959;0
1100296;Santa Luzia D'Oeste;RO;M;15845365000194;7837;0
1100304;Vilhena;RO;M;04092706000181;109651;0
1100320;São Miguel do Guaporé;RO;M;22855167000177;22305;0
1100338;Nova Mamoré;RO;M;22855183000160;28701;0
1100346;Alvorada D'Oeste;RO;M;15845340000190;13720;0
1100379;Alto Alegre dos Parecis;RO;M;84744994000140;12237;0
1100403;Alto Paraíso;RO;M;63762025000142;17467;0
1100452;Buritis;RO;M;01266058000144;30649;0
1100502;Novo Horizonte do Oeste;RO;M;63762009000150;7972;0
1100601;Cacaulândia;RO;M;63762058000192;4292;0
1100700;Campo Novo de Rondônia;RO;M;63762033000199;9095;0
1100809;Candeias do Jamari;RO;M;63761902000160;24313;0
1100908;Castanheiras;RO;M;63761969000103;3450;0
1100924;Chupinguaia;RO;M;01587887000129;10191;0
1100940;Cujubim;RO;M;84736941000188;15877;0
1101005;Governador Jorge Teixeira;RO;M;63761944000100;8340;0
1101104;Itapuã do Oeste;RO;M;63761936000155;9228;0
1101203;Ministro Andreazza;RO;M;63762074000185;6519;0
1101302;Mirante da Serra;RO;M;63787071000104;9657;0
1101401;Monte Negro;RO;M;63761985000198;12168;0
1101435;Nova União;RO;M;00699197000107;6541;0
1101468;Pimenteiras do Oeste;RO;M;01592473000198;2309;0
1101476;Primavera de Rondônia;RO;M;84723030000116;3268;0
1101484;São Felipe D'Oeste;RO;M;84745389000194;5588;0
1101492;São Francisco do Guaporé;RO;M;01254422000156;17557;0
1101500;Seringueiras;RO;M;63761993000134;12965;0
1101559;Teixeirópolis;RO;M;84722933000182;4521;0
1101609;Theobroma;RO;M;84727601000190;8459;0
1101708;Urupá;RO;M;63787097000144;11314;0
1101757;Vale do Anari;RO;M;84722917000190;8220;0
1101807;Vale do Paraíso;RO;M;63786990000155;6790;0
1200013;Acrelândia;AC;M;84306737000127;14712;0
1200054;Assis Brasil;AC;M;04045993000179;8648;0
1200104;Brasiléia;AC;M;04508933000145;28028;0
1200138;Bujari;AC;M;84306620000143;13928;0
1200179;Capixaba;AC;M;84306604000150;10981;0
1200203;Cruzeiro do Sul;AC;M;04012548000102;98916;0
1200252;Epitaciolândia;AC;M;84306588000104;19874;0
1200302;Feijó;AC;M;04005179000120;37764;0
1200328;Jordão;AC;M;84306497000160;9884;0
1200336;Mâncio Lima;AC;M;04059671000189;20479;0
1200344;Manoel Urbano;AC;M;04051207000146;12923;0
1200351;Marechal Thaumaturgo;AC;M;84306463000176;18057;0
1200385;Plácido de Castro;AC;M;04076733000160;17107;0
1200393;Porto Walter;AC;M;63603625000168;11333;0
1200401;Rio Branco;AC;M;04034583000122;389001;1
1200427;Rodrigues Alves;AC;M;84306455000120;15560;0
1200435;Santa Rosa do Purus;AC;M;84306521000161;7217;0
1200450;Senador Guiomard;AC;M;04077251000125;22402;0
1200500;Sena Madureira;AC;M;04513362000137;44049;0
1200609;Tarauacá;AC;M;34693564000179;46816;0
1200708;Xapuri;AC;M;04018560000124;19170;0
1200807;Porto Acre;AC;M;84306661000130;17523;0
1300029;Alvarães;AM;M;04628335000100;16806;0
1300060;Amaturá;AM;M;04628723000190;11533;0
1300086;Anamã;AM;M;04628020000162;9981;0
1300102;Anori;AM;M;04262762000117;18056;0
1300144;Apuí;AM;M;22812960000199;21781;0
1300201;Atalaia do Norte;AM;M;04530713000118;15889;0
1300300;Autazes;AM;M;04477642000137;45960;0
1300409;Barcelos;AM;M;04271037000105;18210;0
1300508;Barreirinha;AM;M;04283040000149;33722;0
1300607;Benjamin Constant;AM;M;04243978000135;40908;0
1300631;Beruri;AM;M;04628111000106;22495;0
1300680;Boa Vista do Ramos;AM;M;04629283000196;26479;0
1300706;Boca do Acre;AM;M;15811318000120;38792;0
1300805;Borba;AM;M;04477568000159;34869;0
1300839;Caapiranga;AM;M;04628046000100;14806;0
1300904;Canutama;AM;M;04247441000143;18109;0
1301001;Carauari;AM;M;04530044000184;31130;0
1301100;Careiro;AM;M;04332995000149;32336;0
1301159;Careiro da Várzea;AM;M;23006331000134;20324;0
1301209;Coari;AM;M;04262432000121;73576;0
1301308;Codajás;AM;M;04263331000256;24572;0
1301407;Eirunepé;AM;M;04190765000192;35793;0
1301506;Envira;AM;M;04530895000127;17985;0
1301605;Fonte Boa;AM;M;04530101000125;28227;0
1301654;Guajará;AM;M;22812242000112;14344;0
1301704;Humaitá;AM;M;04465209000181;63454;0
1301803;Ipixuna;AM;M;04191078000191;25629;0
1301852;Iranduba;AM;M;04628533000173;68862;0
1301902;Itacoatiara;AM;M;04241980000175;113917;0
1301951;Itamarati;AM;M;04628376000104;11956;0
1302009;Itapiranga;AM;M;04495644000159;10955;0
1302108;Japurá;AM;M;04505509000147;9420;0
1302207;Juruá;AM;M;04588596000143;11093;0
1302306;Jutaí;AM;M;04285896000153;28202;0
1302405;Lábrea;AM;M;05830872000109;49469;0
1302504;Manacapuru;AM;M;04274064000131;111751;0
1302553;Manaquiri;AM;M;04641551000195;16211;0
1302603;Manaus;AM;M;04365326000173;2303732;1
1302702;Manicoré;AM;M;04197166000109;58018;0
1302801;Maraã;AM;M;04505640000104;15815;0
1302900;Maués;AM;M;04282869000127;66336;0
1303007;Nhamundá;AM;M;04283578000153;21251;0
1303106;Nova Olinda do Norte;AM;M;04477600000104;28123;0
1303205;Novo Airão;AM;M;04533113000103;16562;0
1303304;Novo Aripuanã;AM;M;04278818000121;25325;0
1303403;Parintins;AM;M;04329736000169;101855;0
1303502;Pauini;AM;M;04530135000110;20229;0
1303536;Presidente Figueiredo;AM;M;04628681000198;33291;0
1303569;Rio Preto da Eva;AM;M;04629697000115;25364;0
1303601;Santa Isabel do Rio Negro;AM;M;04194239000109;13947;0
1303700;Santo Antônio do Içá;AM;M;04532057000192;30679;0
1303809;São Gabriel da Cachoeira;AM;M;04272670000118;57396;0
1303908;São Paulo de Olivença;AM;M;05829577000124;35442;0
1303957;São Sebastião do Uatumã;AM;M;04628418000107;12338;0
1304005;Silves;AM;M;04477634000190;12619;0
1304062;Tabatinga;AM;M;04011805000191;73348;0
1304104;Tapauá;AM;M;04530390000162;20728;0
1304203;Tefé;AM;M;04426383000115;80137;0
1304237;Tonantins;AM;M;04628608000116;20257;0
1304260;Uarini;AM;M;04647079000106;15640;0
1304302;Urucará;AM;M;04477782000105;19617;0
1304401;Urucurituba;AM;M;04502571000185;25965;0
1400027;Amajari;RR;M;01614081000182;16112;0
1400050;Alto Alegre;RR;M;04056206000194;23589;0
1400100;Boa Vista;RR;M;05943030000155;485477;1
1400159;Bonfim;RR;M;04056214000130;15570;0
1400175;Cantá;RR;M;01612682000156;21102;0
1400209;Caracaraí;RR;M;04653408000113;22750;0
1400233;Caroebe;RR;M;01614606000180;12004;0
1400282;Iracema;RR;M;01613028000167;10937;0
1400308;Mucajaí;RR;M;04056198000186;20006;0
1400407;Normandia;RR;M;04056222000187;16323;0
1400456;Pacaraima;RR;M;01612675000154;23112;0
1400472;Rorainópolis;RR;M;01613031000180;37787;0
1400506;São João da Baliza;RR;M;04056248000125;9969;0
1400605;São Luiz;RR;M;04056230000123;7848;0
1400704;Uiramutã;RR;M;01612681000101;16186;0
1500107;Abaetetuba;PA;M;05105127000199;172344;0
1500131;Abel Figueiredo;PA;M;83211375000128;6275;0
1500206;Acará;PA;M;05196548000172;63110;0
1500305;Afuá;PA;M;05119854000105;40473;0
1500347;Água Azul do Norte;PA;M;34671057000134;17596;0
1500404;Alenquer;PA;M;04838793000173;75882;0
1500503;Almeirim;PA;M;05139464000105;36442;0
1500602;Altamira;PA;M;05263116000137;138749;0
1500701;Anajás;PA;M;05849955000131;30247;0
1500800;Ananindeua;PA;M;05058441000168;509227;0
1500859;Anapu;PA;M;01613194000163;35638;0
1500909;Augusto Corrêa;PA;M;04873600000115;47912;0
1500958;Aurora do Pará;PA;M;83267989000121;24193;0
1501006;Aveiro;PA;M;04542916000124;19380;0
1501105;Bagre;PA;M;04876538000115;35147;0
1501204;Baião;PA;M;05425871000170;56850;0
1501253;Bannach;PA;M;01595320000102;4290;0
1501303;Barcarena;PA;M;05058458000115;139076;0
1501402;Belém;PA;M;05055009000113;1397315;1
1501451;Belterra;PA;M;01614112000103;19075;0
1501501;Benevides;PA;M;05058466000161;68962;0
1501576;Bom Jesus do Tocantins;PA;M;22938757000163;19129;0
1501600;Bonito;PA;M;05149083000107;12961;0
1501709;Bragança;PA;M;04873592000107;132489;0
1501725;Brasil Novo;PA;M;34887950000100;27130;0
1501758;Brejo Grande do Araguaia;PA;M;22938773000156;6966;0
1501782;Breu Branco;PA;M;34626440000170;47066;0
1501808;Breves;PA;M;04876389000194;116058;0
1501907;Bujaru;PA;M;05196563000110;25065;0
1501956;Cachoeira do Piriá;PA;M;01612360000107;19223;0
1502004;Cachoeira do Arari;PA;M;04884482000140;25467;0
1502103;Cametá;PA;M;05105283000150;144859;0
1502152;Canaã dos Carajás;PA;M;01613321000124;89524;0
1502202;Capanema;PA;M;05149091000145;75309;0
1502301;Capitão Poço;PA;M;05149109000109;60318;0
1502400;Castanhal;PA;M;05121991000184;209126;0
1502509;Chaves;PA;M;04888111000137;21501;0
1502608;Colares;PA;M;05835939000190;13625;0
1502707;Conceição do Araguaia;PA;M;05070404000175;47144;0
1502756;Concórdia do Pará;PA;M;14145791000152;28270;0
1502764;Cumaru do Norte;PA;M;34670976000193;15150;0
1502772;Curionópolis;PA;M;22938732000160;20975;0
1502806;Curralinho;PA;M;04876710000130;36814;0
1502855;Curuá;PA;M;01613319000155;14954;0
1502905;Curuçá;PA;M;05171939000132;44880;0
1502939;Dom Eliseu;PA;M;22953681000145;62823;0
1502954;Eldorado do Carajás;PA;M;84139633000175;29287;0
1503002;Faro;PA;M;05178272000108;9167;0
1503044;Floresta do Araguaia;PA;M;01613338000181;18595;0
1503077;Garrafão do Norte;PA;M;22980940000127;25558;0
1503093;Goianésia do Pará;PA;M;83211433000113;26703;0
1503101;Gurupá;PA;M;04876397000130;34137;0
1503200;Igarapé-Açu;PA;M;05149117000155;37925;0
1503309;Igarapé-Miri;PA;M;05191333000169;69446;0
1503408;Inhangapi;PA;M;05171921000130;10784;0
1503457;Ipixuna do Pará;PA;M;83268011000184;29264;0
1503507;Irituia;PA;M;05193123000100;32740;0
1503606;Itaituba;PA;M;05138730000177;135369;0
1503705;Itupiranga;PA;M;05077102000129;52201;0
1503754;Jacareacanga;PA;M;10221745000134;26579;0
1503804;Jacundá;PA;M;05854633000180;37726;0
1503903;Juruti;PA;M;05257555000137;54255;0
1504000;Limoeiro do Ajuru;PA;M;05105168000185;32088;0
1504059;Mãe do Rio;PA;M;05363023000184;37473;0
1504109;Magalhães Barata;PA;M;05171947000189;8439;0
1504208;Marabá;PA;M;05853163000130;290975;0
1504307;Maracanã;PA;M;04880258000180;27129;0
1504406;Marapanim;PA;M;05171681000174;28159;0
1504422;Marituba;PA;M;01611666000149;119437;0
1504455;Medicilândia;PA;M;34593525000108;28677;0
1504505;Melgaço;PA;M;04876470000174;30080;0
1504604;Mocajuba;PA;M;05846704000101;28903;0
1504703;Moju;PA;M;05105135000135;91760;0
1504802;Monte Alegre;PA;M;04838496000128;64002;0
1504901;Muaná;PA;M;05105200000122;49648;0
1504950;Nova Esperança do Piriá;PA;M;84263862000105;21304;0
1504976;Nova Ipixuna;PA;M;01612215000126;14400;0
1505007;Nova Timboteua;PA;M;05149125000100;13175;0
1505031;Novo Progresso;PA;M;10221786000120;37054;0
1505064;Novo Repartimento;PA;M;34626416000131;63796;0
1505106;Óbidos;PA;M;05131180000164;55527;0
1505205;Oeiras do Pará;PA;M;04876413000195;36734;0
1505304;Oriximiná;PA;M;05131081000182;72889;0
1505403;Ourém;PA;M;05149133000148;18783;0
1505437;Ourilândia do Norte;PA;M;22980643000181;35252;0
1505486;Pacajá;PA;M;22981427000150;43741;0
1505494;Palestina do Pará;PA;M;83211417000120;7063;0
1505502;Paragominas;PA;M;05193057000178;113498;0
1505536;Parauapebas;PA;M;22980999000115;305771;0
1505551;Pau D'Arco;PA;M;34671016000148;7354;0
1505601;Peixe-Boi;PA;M;05149158000141;8686;0
1505635;Piçarra;PA;M;01612163000198;13366;0
1505650;Placas;PA;M;01611858000155;18510;0
2506608;Ibiara;PB;M;08943268000179;5713;0
2506707;Imaculada;PB;M;08883969000160;10497;0
2506806;Ingá;PB;M;08810350000125;18234;0
2506905;Itabaiana;PB;M;09072430000193;23558;0
2507002;Itaporanga;PB;M;08940694000159;24766;0
2507101;Itapororoca;PB;M;09165176000178;19165;0
2507200;Itatuba;PB;M;08865628000161;10840;0
2507309;Jacaraú;PB;M;08947699000103;14969;0
2507408;Jericó;PB;M;08931495000184;7728;0
2507507;João Pessoa;PB;M;08778326000156;897633;1
2507606;Juarez Távora;PB;M;08919490000136;8088;0
2507705;Juazeirinho;PB;M;08996886000187;17520;0
2507804;Junco do Seridó;PB;M;09084054000157;7019;0
2507903;Juripiranga;PB;M;08865933000153;10255;0
2508000;Juru;PB;M;08888950000106;9380;0
2508109;Lagoa;PB;M;09151796000158;4489;0
2508208;Lagoa de Dentro;PB;M;09071622000185;8123;0
2508307;Lagoa Seca;PB;M;08997611000168;29209;0
2508406;Lastro;PB;M;08999716000156;3316;0
2508505;Livramento;PB;M;08738916000155;7041;0
2508554;Logradouro;PB;M;01612986000113;5107;0
2508604;Lucena;PB;M;08924813000180;13088;0
2508703;Mãe d'Água;PB;M;09084088000141;3599;0
2508802;Malta;PB;M;09151861000145;6288;0
2508901;Mamanguape;PB;M;08898124000148;46966;0
2509008;Manaíra;PB;M;09148131000195;10699;0
2509057;Marcação;PB;M;01612351000116;9537;0
2509107;Mari;PB;M;08917106000166;22170;0
2509156;Marizópolis;PB;M;01612941000149;7001;0
2509206;Massaranduba;PB;M;08739138000119;14756;0
2509305;Mataraca;PB;M;08898256000170;8650;0
2509339;Matinhas;PB;M;01612641000160;4759;0
2509370;Mato Grosso;PB;M;01613316000111;2584;0
2509396;Maturéia;PB;M;01612689000178;6717;0
2509404;Mogeiro;PB;M;08866501000167;14435;0
2509503;Montadas;PB;M;08739351000120;6144;0
2509602;Monte Horebe;PB;M;08924011000170;4429;0
2509701;Monteiro;PB;M;09073628000191;33886;0
2509800;Mulungu;PB;M;08786865000137;8909;0
2509909;Natuba;PB;M;09072448000195;8935;0
2510006;Nazarezinho;PB;M;08999708000100;7394;0
2510105;Nova Floresta;PB;M;08739625000181;9840;0
2510204;Nova Olinda;PB;M;08889297000108;5897;0
2510303;Nova Palmeira;PB;M;08739930000173;4359;0
2510402;Olho d'Água;PB;M;08944076000187;6059;0
2510501;Olivedos;PB;M;08740102000155;3675;0
2510600;Ouro Velho;PB;M;08872459000197;3000;0
2510659;Parari;PB;M;01612532000142;1745;0
2510709;Passagem;PB;M;08876104000176;2580;0
2510808;Patos;PB;M;09084815000170;108104;0
2510907;Paulista;PB;M;08945727000153;12172;0
2511004;Pedra Branca;PB;M;08889826000165;3851;0
2511103;Pedra Lavrada;PB;M;08740466000135;6980;0
2511202;Pedras de Fogo;PB;M;09072455000197;31356;0
2511301;Piancó;PB;M;09148727000195;17088;0
2511400;Picuí;PB;M;08741399000173;18862;0
2511509;Pilar;PB;M;08867780000183;12889;0
2511608;Pilões;PB;M;08786626000187;6974;0
2511707;Pilõezinhos;PB;M;08788903000190;5539;0
2511806;Pirpirituba;PB;M;08789299000117;9411;0
2511905;Pitimbu;PB;M;08916785000159;17166;0
2512002;Pocinhos;PB;M;08741688000172;18038;0
2512036;Poço Dantas;PB;M;01615653000148;3934;0
2512077;Poço de José de Moura;PB;M;01615784000125;4126;0
2104503;Governador Archer;MA;M;06138150000142;10476;0
2104552;Governador Edison Lobão;MA;M;01597627000134;18963;0
2104602;Governador Eugênio Barros;MA;M;06101117000148;14264;0
2104628;Governador Luiz Rocha;MA;M;01578554000133;7216;0
2104651;Governador Newton Bello;MA;M;01615124000144;10993;0
2104677;Governador Nunes Freire;MA;M;01612834000110;23526;0
2104701;Graça Aranha;MA;M;06140594000112;6160;0
2104800;Grajaú;MA;M;06377063000148;76837;0
2104909;Guimarães;MA;M;05505334000130;10439;0
2105005;Humberto de Campos;MA;M;06222616000193;26550;0
2105104;Icatu;MA;M;05296298000142;25332;0
2105153;Igarapé do Meio;MA;M;01612346000103;14383;0
2105203;Igarapé Grande;MA;M;06323208000128;10461;0
2105302;Imperatriz;MA;M;06158455000116;285806;0
2105351;Itaipava do Grajaú;MA;M;01612546000166;14142;0
2105401;Itapecuru Mirim;MA;M;05648696000180;62264;0
2105427;Itinga do Maranhão;MA;M;01614537000104;22896;0
2105450;Jatobá;MA;M;01616678000166;7593;0
2105476;Jenipapo dos Vieiras;MA;M;01614441000146;17529;0
2105500;João Lisboa;MA;M;07000300000110;25311;0
2105609;Joselândia;MA;M;06376974000150;15227;0
2105658;Junco do Maranhão;MA;M;01612334000189;5282;0
2105708;Lago da Pedra;MA;M;06021810000100;45865;0
2105807;Lago do Junco;MA;M;06460026000107;9687;0
2105906;Lago Verde;MA;M;06021174000117;15069;0
2105922;Lagoa do Mato;MA;M;01613315000177;10806;0
2105948;Lago dos Rodrigues;MA;M;01612541000133;8962;0
2105963;Lagoa Grande do Maranhão;MA;M;01612337000112;11731;0
2105989;Lajeado Novo;MA;M;01598548000148;7232;0
2106003;Lima Campos;MA;M;06933519000109;11559;0
2106102;Loreto;MA;M;06229538000159;11884;0
2106201;Luís Domingues;MA;M;05292594000175;7366;0
2106300;Magalhães de Almeida;MA;M;06988976000109;13933;0
2106326;Maracaçumé;MA;M;01612336000178;21730;0
2106359;Marajá do Sena;MA;M;01555070000179;7153;0
2106375;Maranhãozinho;MA;M;01612327000187;14092;0
2106409;Mata Roma;MA;M;06119945000103;17581;0
2106508;Matinha;MA;M;06158729000177;22540;0
2106607;Matões;MA;M;06114631000118;33327;0
2106631;Matões do Norte;MA;M;01612831000187;18021;0
2106672;Milagres do Maranhão;MA;M;01612319000130;9065;0
2106706;Mirador;MA;M;06140818000196;21536;0
2106755;Miranda do Norte;MA;M;12553806000196;24373;0
2106805;Mirinzal;MA;M;06342240000150;14298;0
2106904;Monção;MA;M;06190243000116;28563;0
2107001;Montes Altos;MA;M;06759104000160;9306;0
2107100;Morros;MA;M;05489935000105;19015;0
2107209;Nina Rodrigues;MA;M;06124408000151;14589;0
2107258;Nova Colinas;MA;M;01608768000105;5148;0
2107308;Nova Iorque;MA;M;05303565000161;4409;0
2107357;Nova Olinda do Maranhão;MA;M;01612625000177;14379;0
2107407;Olho d'Água das Cunhãs;MA;M;06014005000150;18288;0
2107456;Olinda Nova do Maranhão;MA;M;01612629000155;13921;0
2107506;Paço do Lumiar;MA;M;06003636000173;153158;0
2107605;Palmeirândia;MA;M;06209936000103;21657;0
2107704;Paraibano;MA;M;05303144000130;18589;0
2107803;Parnarama;MA;M;06115117000105;32232;0
2107902;Passagem Franca;MA;M;10438570000111;17591;0
2108009;Pastos Bons;MA;M;05277173000175;19266;0
2108058;Paulino Neves;MA;M;01562914000109;17578;0
2108108;Paulo Ramos;MA;M;06029524000191;20798;0
2108207;Pedreiras;MA;M;06184253000149;38252;0
2108256;Pedro do Rosário;MA;M;01614946000100;24955;0
2108306;Penalva;MA;M;06179402000181;33496;0
2108405;Peri Mirim;MA;M;41611856000180;11229;0
2108454;Peritoró;MA;M;01612537000175;20903;0
2108504;Pindaré-Mirim;MA;M;06189344000177;32542;0
2108603;Pinheiro;MA;M;06200745000180;88091;0
2108702;Pio XII;MA;M;06447833000181;22374;0
2108801;Pirapemas;MA;M;07623366000166;18132;0
2108900;Poção de Pedras;MA;M;06202808000138;17394;0
2109007;Porto Franco;MA;M;06208946000124;24571;0
2109056;Porto Rico do Maranhão;MA;M;01612542000188;6092;0
2109106;Presidente Dutra;MA;M;06138366000108;46606;0
2109205;Presidente Juscelino;MA;M;06003891000116;11616;0
2109239;Presidente Médici;MA;M;01612320000165;4717;0
2109270;Presidente Sarney;MA;M;01613745000199;17925;0
2109304;Presidente Vargas;MA;M;06124739000191;10791;0
2109403;Primeira Cruz;MA;M;06240352000109;13920;0
2109452;Raposa;MA;M;01612325000198;32156;0
2109502;Riachão;MA;M;05282801000100;22740;0
2109551;Ribamar Fiquene;MA;M;01598547000101;7601;0
2109601;Rosário;MA;M;41479569000169;39761;0
2109700;Sambaíba;MA;M;06229397000174;6234;0
2109759;Santa Filomena do Maranhão;MA;M;01612632000179;6833;0
2109809;Santa Helena;MA;M;06226583000150;43200;0
2109908;Santa Inês;MA;M;06198949000124;88249;0
2110005;Santa Luzia;MA;M;06191001000147;58839;0
2110039;Santa Luzia do Paruá;MA;M;12511093000106;24890;0
2110104;Santa Quitéria do Maranhão;MA;M;06232615000120;24495;0
2110203;Santa Rita;MA;M;63441836000141;38542;0
2110237;Santana do Maranhão;MA;M;01612830000132;10759;0
2110278;Santo Amaro do Maranhão;MA;M;01612671000176;14287;0
2110302;Santo Antônio dos Lopes;MA;M;06172720000110;14628;0
2110401;São Benedito do Rio Preto;MA;M;06398150000181;18810;0
2110500;São Bento;MA;M;06214258000177;48166;0
2110609;São Bernardo;MA;M;06125389000188;27910;0
2110658;São Domingos do Azeitão;MA;M;01612333000134;8236;0
2110708;São Domingos do Maranhão;MA;M;06113690000171;35247;0
2110807;São Félix de Balsas;MA;M;05490420000117;4491;0
2110856;São Francisco do Brejão;MA;M;01616680000135;9202;0
2110906;São Francisco do Maranhão;MA;M;06089163000179;12360;0
2111003;São João Batista;MA;M;35101369000175;18889;0
2111029;São João do Carú;MA;M;01612344000114;12360;0
2111052;São João do Paraíso;MA;M;01597629000123;10091;0
2111078;São João do Soter;MA;M;01612628000100;17253;0
2111102;São João dos Patos;MA;M;06089668000133;25910;0
2111201;São José de Ribamar;MA;M;06351514000178;259164;0
2111250;São José dos Basílios;MA;M;01616769000100;7094;0
2111300;São Luís;MA;M;06307102000130;1089215;1
2111409;São Luís Gonzaga do Maranhão;MA;M;06460018000152;18123;0
2111508;São Mateus do Maranhão;MA;M;06019491000107;40177;0
2111532;São Pedro da Água Branca;MA;M;01613956000121;14786;0
